,Route,Destination,Duetime
0,14,Dundrum LUAS,2
1,16,Ballinteer,5
2,16,Ballinteer,18
3,14,Dundrum LUAS,22
4,16,Ballinteer,33
5,14,Dundrum LUAS,42
6,16,Ballinteer,48
