,StopID,Name,Routes
116,149,Mobhi Road,"['155', '4', '9']"
117,150,Mobhi Road,"['9', '4', '155']"
118,151,Botanic Rd,"['83', '83A']"
119,153,Glasnevin Hill,"['83A', '83']"
120,154,Old Finglas Rd,"['83', '83A']"
121,155,Old Finglas Rd,"['83A', '83']"
122,156,Tolka Estate,"['83', '83A', '70D']"
123,157,Glasilawn Road,['83A']
124,158,Griffith Road,['83A']
125,159,Griffith Parade,['83A']
126,164,Beneavin Rd,['9']
127,165,Beneavin Rd,['9']
128,166,Beneavin Rd,['9']
129,167,Beneavin Rd,['9']
130,168,Beneavin Rd,['9']
131,169,Beneavin Rd,['9']
132,173,Glasnamana Place,['83A']
133,174,Tolka Estate,['83A']
134,175,Tolka Estate,"['83A', '83', '70D']"
135,176,Old Finglas Rd,"['83', '83A']"
136,177,Ballygall Rd East,['83']
137,178,Ballygall Rd East,['83']
138,179,Ballygall Rd East,['83']
139,181,Old Finglas Rd,"['83', '83A']"
140,182,Glasnevin Hill,"['83A', '83']"
141,183,Botanic Rd,"['83', '83A']"
142,184,Botanic Rd,"['83A', '9', '83', '4', '155']"
143,185,Botanic Rd,"['155', '4', '83', '9', '83A']"
144,186,Prospect Road,"['83A', '9', '83', '4', '40', '40B', '40D', '155', '140']"
145,187,Phibsboro Road,"['140', '155', '40', '4', '83', '9', '83A']"
146,188,Phibsboro Road,"['83A', '9', '83', '4', '40', '155', '140']"
147,189,Phibsboro Road,"['140', '155', '40', '4', '83', '9', '83A']"
148,190,Phibsboro Road,"['83A', '9', '83', '4', '40', '155', '140']"
149,191,Western Way,"['140', '155', '4', '9']"
150,192,Mountjoy Street,"['40', '46A', '120', '38', '38A', '38B', '38D']"
151,193,Mckee Road,['9']
152,194,Western Way,"['9', '140', '155', '4']"
153,195,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
154,196,Phibsboro Road,"['83A', '9', '140', '155', '83', '4']"
155,197,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
156,198,Phibsboro Road,"['83A', '9', '140', '155', '83', '4']"
157,199,Phibsboro Road,"['4', '83', '155', '140', '9', '83A']"
158,200,Prospect Way,"['83A', '9', '155', '83', '4']"
159,201,Botanic Rd,"['4', '83', '155', '9', '83A']"
160,202,Botanic Rd,"['83A', '83']"
161,203,Swords Road,"['41', '41C', '41D', '41B', '44', '16', '1', '33', '33E']"
162,204,Swords Road,"['33E', '33', '1', '16', '44', '41B', '41D', '41C', '41']"
163,205,Swords Road,"['41', '41C', '41D', '41B', '44', '16', '1', '33', '33E']"
164,206,Collins Ave,"['31D', '44']"
165,207,Larkhill Rd,['44']
166,208,Glendun Rd,"['44', '16', '16C']"
167,209,Larkhill Rd,"['16C', '16', '44']"
168,210,Larkhill Rd,"['44', '16', '16C']"
169,211,Collins Ave,"['16C', '16', '44']"
170,212,Collins Ave,"['44', '16', '16C']"
171,213,Swords Road,"['16C', '16D', '16', '1', '33', '44', '41B', '41C', '41D', '41']"
172,214,Swords Road,"['41', '41D', '41C', '41B', '44', '33', '1', '16', '16D', '16C']"
173,215,Collins Ave,"['16C', '16']"
174,216,Beaumont Road,"['16', '16C', '14']"
175,217,Beaumont Road,"['14', '16C', '16']"
176,218,Shantalla Road,"['16', '16C']"
177,219,Shantalla Road,"['16C', '16']"
178,220,Swords Road,"['16', '1', '33', '33E', '41B', '41C', '41D', '41']"
179,221,Shanowen Rd,['1']
180,222,Shanliss Rd,['1']
181,223,Shanliss Rd,['1']
182,224,Shanard Road,['1']
183,225,Shanard Road,['1']
184,226,Shanard Road,"['1', '16']"
185,227,Shanliss Rd,"['16', '1']"
186,228,Shanliss Rd,"['1', '16']"
187,229,Shanliss Rd,"['16', '1']"
188,230,Shanliss Rd,"['1', '16']"
189,231,Swords Road,"['16', '16C', '16D', '1', '33', '41', '41D', '41C', '41B']"
190,232,Shantalla Road,"['16C', '16']"
191,233,Shantalla Road,"['16', '16C']"
192,234,Beaumont Road,"['16C', '16', '14C', '14']"
193,235,Beaumont Road,"['14', '14C', '16', '16C']"
194,236,Beaumont Road,"['16C', '16', '14C', '14']"
195,237,Collins Ave,"['16', '16C', '31D']"
196,242,Beaumont Road,['14']
197,243,Beaumont Road,['14']
198,244,Skelly's Lane,['14']
199,245,Skelly's Lane,['14']
200,246,Kilmore Rd,['14']
201,247,Ardlea Road,['27B']
202,248,Maryfield Drive,"['14', '14C']"
203,249,Kilmore Rd,"['14C', '14']"
204,250,Skelly's Lane,"['14', '14C']"
205,251,Skelly's Lane,"['14C', '14']"
206,252,Skelly's Lane,"['14', '14C']"
207,253,Beaumont Hospital,['27B']
208,254,Beaumont Hospital,"['27B', '14']"
209,255,Beaumont Road,"['14', '14C']"
210,261,Parnell Square,"['13', '11', '116', '40', '747']"
211,262,Parnell Square,"['16C', '16D', '16']"
212,263,Parnell Square,"['120', '122', '747', '9']"
213,264,Parnell Square,"['46A', '140', '155']"
214,265,Parnell Square,"['1', '38D', '38', '38B', '38A', '44']"
215,270,O'Connell St,"['40', '13', '16', '16D', '16C']"
216,271,O'Connell St,"['1', '11', '122', '44', '53', '747']"
217,272,O'Connell St,"['44', '123']"
218,273,O'Connell St,"['120', '4', '7A', '7']"
219,274,O'Connell St,"['123', '140', '38A', '38B', '38', '38D']"
220,276,River Road,['120']
221,277,O'Connell St,"['33', '41', '41B', '41C', '41D', '9']"
222,278,O'Connell St,"['44', '46A', '46E', '11', '1', '16C', '16']"
223,279,O'Connell St,"['120', '122', '40']"
224,281,O'Connell St,"['4', '7', '7A', '7B', '7D', '116', '13', '155', '9']"
225,284,Rathbourne Avenue,['120']
226,286,Cathal Brugha St,"['747', '53']"
227,288,Abbey St,"['41', '41D', '41C', '41B']"
228,289,Abbey St,"['31B', '32', '29A', '31', '31A']"
229,291,Abbey St,['29A']
230,292,Abbey St,"['33', '33E']"
231,293,Abbey St,['130']
232,297,Eden Quay,"['14', '151', '14C', '32X', '41X']"
233,298,Eden Quay,['27']
234,299,Eden Quay,['15']
235,300,Eden Quay,"['27B', '27A']"
236,301,Eden Quay,"['142', '151', '14C', '15', '14', '757']"
237,302,Eden Quay,"['61', '151', '27X', '27', '33X', '33D']"
238,303,Eden Quay,"['27B', '118', '61', '84X']"
239,307,O'Donovan Rd,['150']
240,308,Oscar Square,['150']
241,309,Ardee St,['150']
242,312,Wellington Quay,"['25', '25A', '25D', '25B', '25X', '26', '66A', '66', '66B', '66E', '66X', '67', '67X']"
243,315,Bachelors Walk,"['67X', '67', '66X', '66E', '66B', '66', '66A', '70', '83', '39X', '51X', '51D', '26', '25X', '25B', '25D', '37', '39', '39A', '25A', '25', '151', '145', '83A']"
244,317,Westmoreland Street,"['84X', '26', '66A', '66', '66B', '66E', '67']"
245,318,Westmoreland Street,"['66X', '67X', '25X']"
246,319,Westmoreland Street,"['140', '13', '1', '155', '83', '44', '40', '83A', '9']"
247,320,Westmoreland Street,"['46A', '46E', '7D', '7B', '16', '16C', '11', '116']"
248,322,Ballymun Road,"['13', '155', '4', '42D']"
249,323,Ballymun Road,"['4', '13']"
250,324,Harristown,"['13', '27B', '4', '83', '83A']"
251,325,Aston Quay,['145']
252,326,Aston Quay,"['79', '79A']"
253,327,Ballymun Road,"['4', '13']"
254,328,Aston Quay,"['39A', '39', '39X']"
255,329,Aston Quay,"['70', '37']"
256,332,Harristown,"['27B', '13', '83', '4', '83A']"
257,333,D'Olier Street,"['41X', '32X', '33X', '33D']"
258,334,D'Olier Street,"['155', '145', '140', '118', '46A', '7B', '7D']"
259,335,D'Olier Street,"['40', '123', '13', '39', '39A']"
260,336,D'Olier Street,"['25X', '14', '142', '14C', '16D', '16', '44', '51D', '51X', '83', '67X', '66X', '61', '83A', '9']"
261,340,Townsend St,"['61', '77A', '47', '56A', '44', '15B', '15A', '15D', '1']"
262,342,Pearse Street,"['49', '54A', '84X']"
263,345,Pearse Street,"['46E', '46A', '41X', '7D', '7B', '66X', '67X', '11', '118', '116', '145', '25X', '32X']"
264,346,Pearse Street,"['26', '66E', '67', '66', '66B', '66A']"
265,350,Townsend Street,"['61', '77A', '77X', '44', '47', '56A', '1', '15D', '15A', '15B']"
266,351,Pearse Street,"['15B', '15A', '15D', '1', '56A', '47', '77A']"
267,352,Pearse Street,"['77A', '47', '56A', '1', '15D', '15A', '15B']"
268,353,Pearse Street,"['15B', '15A', '15D', '1', '56A', '47', '77A']"
269,354,Ringsend Road,"['77A', '47', '56A', '1', '15D', '15A', '15B']"
270,355,Ringsend Road,"['1', '47']"
271,356,Bridge Street,"['47', '1']"
272,357,Irishtown Rd,"['1', '47']"
273,371,Irishtown Rd,"['47', '1']"
274,372,Sandymount Rd,"['1', '47']"
275,373,Sandymount Rd,"['47', '1']"
276,374,Sandymount Rd,"['1', '47']"
277,375,Seafort Ave,"['47', '1']"
278,376,Strand Road,"['1', '47']"
279,377,Strand Road,"['47', '1']"
280,378,Strand Road,"['1', '47']"
281,380,St. John's Road,"['47', '1']"
282,381,Park Avenue,"['1', '47']"
283,382,St. John's Road,"['47', '1']"
284,383,Strand Road,"['1', '47']"
285,384,Strand Road,"['47', '1']"
286,385,Newgrove Ave,"['1', '47']"
287,387,Sandymount Rd,"['47', '1']"
288,388,Sandymount Rd,"['1', '47']"
289,389,Sandymount Rd,"['47', '1']"
290,390,Tritonville Road,"['1', '47']"
291,391,Irishtown Rd,"['47', '1']"
292,392,Bridge Street,"['1', '47']"
293,393,Tritonville Road,"['47', '1']"
294,395,Ringsend Road,"['1', '15B', '15A', '15D', '27', '47', '56A', '77A']"
295,396,Pearse Street,"['77A', '56A', '47', '27', '15D', '15A', '15B', '1']"
296,397,Pearse Street,"['1', '15B', '15A', '15D', '27', '47', '56A', '77A']"
297,398,Pearse Street,"['77A', '56A', '47', '27', '15D', '15A', '15B', '1']"
298,399,Pearse Street,"['1', '15B', '15A', '15D', '27', '47', '56A', '77A']"
299,400,Pearse Street,"['77A', '7A', '56A', '61', '66', '66B', '67', '66A', '66E', '7', '47', '44', '4', '27', '26', '25D', '15D', '15A', '15B', '25', '25A', '25B', '1', '120']"
300,404,Nassau Street,"['11', '39A', '39', '38D', '38B', '38A', '38', '37', '51D', '51X', '70']"
301,405,Nassau Street,"['7A', '7', '4', '27X', '120']"
302,406,Nassau Street,"['145', '25B', '25A', '25', '155', '25D', '26', '25X', '46A', '67X', '66E', '66X', '67', '66B', '66', '66A', '7B', '7D']"
