,Route,Destination,Duetime
0,14,Dundrum LUAS,6
1,16,Ballinteer,11
2,16,Ballinteer,21
3,14,Dundrum LUAS,21
4,16,Ballinteer,33
5,14,Dundrum LUAS,36
6,16,Ballinteer,45
7,14,Dundrum LUAS,51
8,16,Ballinteer,57
